    0.951229D+00   0.860708D+00   0.778801D+00   0.704688D+00
    0.637628D+00   0.576950D+00   0.522046D+00   0.472367D+00
    0.427415D+00   0.386741D+00   0.349938D+00   0.316637D+00
    0.286505D+00   0.259240D+00   0.234570D+00   0.212248D+00
    0.192050D+00   0.173774D+00   0.157237D+00   0.142274D+00
    0.128735D+00   0.116484D+00   0.105399D+00   0.953692D-01
    0.862936D-01   0.780817D-01   0.706512D-01   0.639279D-01
    0.578443D-01   0.523397D-01   0.473589D-01   0.428521D-01
    0.387742D-01   0.350844D-01   0.317456D-01   0.287246D-01
    0.259911D-01   0.235177D-01   0.212797D-01   0.192547D-01
    0.174224D-01   0.157644D-01   0.142642D-01   0.129068D-01
    0.116786D-01   0.105672D-01   0.956160D-02   0.865169D-02
    0.782838D-02   0.708341D-02   0.640933D-02   0.579940D-02
    0.524752D-02   0.474815D-02   0.429630D-02   0.388746D-02
    0.351752D-02   0.318278D-02   0.287990D-02   0.260584D-02
    0.235786D-02   0.213348D-02   0.193045D-02   0.174675D-02
